"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop Dell Inspiron 15 3520-5810BLK 102F0","Intel Core i5-1155G7 (15 W, 4 lõi / 8 luồng, 2.50 GHz to 4.50 GHz, 8 MB)","2 khe SODIMM (nâng cấp tối đa 16GB)","Intel Iris Xe Graphics","256 GB","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Độ phủ màu NTSC 45%
Màn hình chống chói","lithium-polymer","Windows 11","Đen","11.750.000₫","5 sao/ (3 đánh giá)","Thời lượng pin Khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | nhân viên tư vấn nhiệt tình năng nổ đánh giá chất lượng phục vụ khách hàng cao || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Laptop dùng ổn. Giá bên shop khá cạnh tranh, chị bán hàng thì siêu siêu nhiệt tình. Mình rất hài lòng || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Hài lòng với nhân viên và sản phẩm"
"Laptop Dell Inspiron 14 5440 NDY5V1","Intel Core i5-1334U (10 cores) - Max Turbo Frequency: 4.60 GHz","2 x 8GB","Intel Iris Xe Graphics","512GB SSD PCIe (M.2 2230) - combo M.2 2230/2280","14 inches","1920 x 1200 pixels (FullHD+)","Màn hình chống chói","3 Cell Int (41Wh)","Windows 11 Home Single Language 64-bit + Office Home & Student 2021","Xanh","19.990.000₫","",""
"Laptop Dell Inspiron 15 3530 N3530","Intel Core i5-1334U (12MB Cache, up to 4.6 GHz)","2 khe (2x 8GB, tối đa 16GB)","Intel Iris Xe Graphics","512GB M.2 2230 NVMe PCIe SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói","Pin liền, 3-Cell Battery, 41WHr","Windows 11 Home + Office Home & Student 2021","Bạc","17.490.000₫","",""
"Laptop Dell Alienware X15 R2","Intel Core i9-12900H (up to 5.0 GHz, 14 lõi / 20 luồng, 24MB Cache)","1 thanh RAM 16GB","NVIDIA GeForce RTX 3070 Ti, 8 GB GDDR6","SSD 1TB M.2 PCIe NVMe","15.6 inches","2560 x 1440 pixels","Tốc độ phản hồi 2ms
ComfortView Plus
Advanced Optimus
NVIDIA G-SYNC","6-cell Li-ion 87 Wh","Windows 11 Pro","","","",""
"Laptop Dell Alienware X17","Intel® Core™ i9-12900HK thế hệ thứ 12 (bộ nhớ đệm 24 MB, 14 lõi, 20 luồng, Turbo lên đến 5,00 GHz)","2 khe 16GB","NVIDIA® GeForce RTX™ 3080 Ti, 16 GB GDDR6","1 TB, M.2, PCIe NVMe, SSD","17.3 inches","1920 x 1080 pixels (FullHD)","17,3"", FHD 1920x1080, 480Hz, Không cảm ứng, 3ms, Advanced Optimus, ComfortView Plus, NVIDIA G-SYNC","Pin tiểu 6 Cell, 87 Wh, Lithium Ion, Bộ bảo vệ pin Alienware","Windows 11 Home, Tiếng Anh","","","",""
"Laptop Dell Alienware M15 R5","AMD Ryzen 9 5900HX","2 khe 8GB, hỗ trợ RAM tối đa 32GB","NVIDIA GeForce RTX 3070 8GB
AMD Radeon Graphics","SSD 1TB","15.6 inches","1920 x 1080 pixels (FullHD)","15.6 inch, 1920 x 1080 Pixels, WVA, 165 Hz, 300 nits, Wide-Viewing Angle (WVA)","Lithium polymer, 6 Cell, 240W","Windows 10 Home","","","",""
"Laptop Dell Vostro 5581 (70194504)","Intel Core i5 8265U","2 khe, hỗ trợ nâng cấp tối đa 32GB","Intel UHD Graphics","HDD 1TB","15.6 inches","1920 x 1080 pixels (FullHD)","15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, LED-backlit","Lithium-ion","Windows 10 Home","","","",""
"Laptop Dell Vostro 5581 (70175952)","Intel Core I5 -8265U","DDR4, 2666 MHz","Intel UHD Graphics","HDD 1 TB","15.6 inches","1920 x 1080 pixels (FullHD)","","","Windows 10","","","",""
"Laptop Dell Alienware M18","Intel Core i9-13980HX","LPDDR5 4800MHz MHz","Nvidia GeForce RTX 4090","SSD 1TB","18 inches","2560 x 1600 pixels (2K)","Kích thước 18 inch
Độ phân giải 2K+ (2.560 x 1.600)
Tần số quét 165 Hz
Tỷ lệ màn hình 16:10","97 Wh","Windows 11","","","",""
"Laptop Dell Inspiron N3580 70184569","Intel Core i5 8265U","2 khe, hỗ trợ nâng cấp tối đa 16GB","Intel UHD Graphics","HDD 1TB","15.6 inches","1920 x 1080 pixels (FullHD)","1920 x 1080 Pixels, 60 Hz, Anti-glare LED-backlit, 16:09","Lithium-ion","Windows 10 Home","","","",""
"Laptop Dell Inspiron N3511 P112F001DBL","Intel Core i5 Tiger Lake - 1135G7","2 khe (1 khe 4 GB + 1 khe rời), hỗ trợ nâng cấp 16GB","Intel Iris Xe Graphics","512 GB SSD NVMe PCIe, Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","15.6 inches","1920 x 1080 pixels (FullHD)","60 Hz, Chống chói, Anti Glare, LED Backlight, WVA","3-cell Li-ion 41 Wh","Windows 11 Home SL","","","",""
"Laptop Dell 15 DC15250 79N4M - Nhập khẩu chính hãng","Intel Core 3-100U","2 khe (2 x 8GB, nâng cấp tối đa 16GB)","Intel Graphics","512GB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Độ sáng 250 nits
Màn hình chống chói","3 cell, 41Wh","Windows 11","Đen","12.490.000₫","",""
"Laptop Dell Vostro 3530 2H1TPI3 - Nhập khẩu chính hãng","Intel Core i3-1305U","2 khe (1 x 8GB, tối đa 16GB)","Intel UHD Graphics","512GB (1 Slot SSD Tối đa 1TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu NTSC 45%
Màn hình chống chói","41Wh , 3Cell","Free OS","Đen","9.690.000₫","5 sao/ (1 đánh giá)","Cài Win hơi lâu, lần sau nên thông báo cho khách hàng trước để khỏi mất thời gian chờ đợi."
"Laptop Dell Inspiron 15 3520 N3520-I5U165W11SLU","Intel Core i5-1235U (12MB Cache, up to 4.4 GHz)","2 khe (2 x 8GB, tối đa 16GB)","Intel UHD Graphics","512GB M.2 2230 NVMe PCIe SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói","Pin liền, 3-Cell Battery, 41WHrC32","Windows 11 Home + Office Home & Student 2021","Bạc","15.990.000₫","5 sao/ (1 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | nhân viên rất nhiệt tình thân thiện , mới mua về máy có hơi vấn đề nhưng mà nhân viên đã giải quyết vô cùng nhanh ❤️❤️❤️"
"Laptop Dell Inspiron 14 5440 N5440-C7U165W11IBD2","Intel Core 7 150U (12MB Cache, Turbo Boost 5.4 GHz)","2 khe (2 x 8GB, nâng tối đa 32GB)","NVIDIA GeForce MX570A 2GB GDDR6
Intel Iris Xe Graphics","512GB SSD PCIe Gen4x4 (M.2 2230)","14 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói","4-Cell Battery, 54WHr","Windows 11 Home, Single Language + Microsoft Office Home 2024 + Microsoft 365 Basic 1 year subscription","Xanh","27.490.000₫","",""
"Laptop Dell Vostro 3530 2H1TPI7","Intel Core i7-1355U thế hệ thứ 13 / 10 nhân 12 luồng / 1.20 GHz to 5.0GHz, 12MB","2 khe (2x 8GB, tối đa 16GB)","Intel Iris Xe Graphics","512GB SSD (1 Slot SSD Tối đa 1TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Góc nhìn rộng (WVA)
Độ phủ màu NTSC 45%
Màn hình chống chói","41Wh , 3Cell","Free OS","Đen","19.490.000₫","5 sao/ (1 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | sp đẹp quá ok, QL hỗ trợ nhiệt tình"
"Laptop Dell Inspiron 15 3520 I3520-7896BLK-PUS - Nhập khẩu chính hãng","Intel Core i7-1255U / Thế hệ 12 / 8 nhân 12 luồng / Up to 4,70Ghz / 12MB Intel Smart Cache","2 khe (2 x 8GB, tối đa 16GB)","Intel Iris Xe Graphics","1TB SSD (Thay thế ổ cứng nguyên bản (hỗ trợ nâng cấp tối đa 1TB) - 1 Slot lắp HDD)","15.6 inches","1920 x 1080 pixels (FullHD)","Đèn nền LED
Màn hình chống chói
Độ sáng 250 cd/m²
Mật độ điểm ảnh: 141 ppi
Không gian màu RGB : NTSC
Narrow Border","3 Cell, 41 Wh","Windows 11 Home","Đen","18.490.000₫","5 sao/ (1 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | nhân viên hỗ trợ nhiệt tình"
